index;x;y;z
0;0.037554;-0.006254;0.038273
1;0.004284;-0.006631;0.007299
2;0.008371;-0.052062;0.024108
3;-0.000367;0.022057;0.064376
4;-0.063177;0.008312;-0.007023
5;-0.080082;-0.083122;-0.049220
6;-0.128343;-0.019861;0.061495
7;-0.426075;0.004889;-0.191102
8;-0.443628;-0.102169;-0.232795
9;-0.321542;0.233763;0.053036
10;-0.221819;0.175651;0.153099
11;-0.144404;0.023214;0.119752
12;-0.208979;0.186843;0.129143
13;-0.121329;-0.022904;0.201844
14;0.008251;0.188153;0.139646
15;0.096874;0.107877;0.245231
16;0.171050;-0.084593;0.265289
17;0.196079;-0.369689;0.595439
18;0.332960;-0.068705;0.140441
19;0.308533;-0.354835;0.274470
20;0.263114;-0.222600;0.447958
21;0.172233;-0.270652;0.191292
22;-0.151678;-0.634421;-0.183927
23;-0.035386;-0.237884;-0.137919
24;-0.091402;-0.290822;0.045045
25;-0.082828;-0.225343;-0.395189
26;-0.181981;-0.165148;-0.457710
27;0.067783;-0.073583;-0.164853
28;0.153468;0.162991;0.139818
29;-0.045333;0.408338;0.063172
30;0.214868;0.211789;0.032868
31;0.367638;0.396028;-0.059046
32;0.421829;0.228715;-0.165782
33;0.114050;0.336211;-0.128546
34;0.173389;0.222714;-0.147921
35;-0.050021;0.281125;-0.181490
36;-0.890357;0.393399;0.215979
37;-0.037952;0.182896;0.122114
38;-0.047734;0.032973;0.194533
39;-0.300726;0.156633;0.154514
40;0.039666;-0.038421;-0.398067
41;0.127216;-0.322012;-0.449801
42;-0.049075;-0.134341;-0.019608
43;-0.114952;0.193170;0.075083
44;0.067408;0.172926;0.252483
45;-0.070837;0.224427;1.264066
46;-0.035904;-0.024511;-0.184435
47;-0.000927;0.019110;-0.065216
48;-0.112070;0.046355;0.221669
49;-0.002620;-0.018758;-0.012072
50;0.005999;-0.015315;-0.003922
51;0.013304;-0.014355;0.004940
52;0.012951;-0.018040;0.009606
53;0.010002;-0.024636;0.026468
54;0.172947;0.022343;0.005806
55;-0.413765;0.106814;0.117009
56;0.076530;-0.194755;-0.192119
57;-0.086662;0.025488;0.147637
58;0.082759;0.053760;-0.067768
59;-0.124164;0.232755;-0.011899
60;-0.006004;0.126002;0.020066
61;0.138038;0.126420;0.024367
62;-0.038078;0.321896;0.047641
63;-0.086256;-0.146351;-0.040423
64;0.024916;-0.308409;-0.009744
65;0.022313;-0.054438;0.083692
66;0.005548;-0.018519;0.019191
67;0.009029;-0.018037;0.011366
68;0.006656;-0.021007;-0.000637
69;0.036253;-0.028240;0.159337
70;-0.031827;0.000789;-0.267259
71;0.107178;-0.031887;0.257538
72;-0.012484;-0.012171;-0.039595
73;0.007681;-0.016483;0.018106
74;0.004185;-0.017296;0.010997
75;0.010049;-0.018282;0.018789
76;0.007621;-0.019640;0.012435
77;0.008898;-0.017784;0.015817
78;0.006473;-0.017561;0.012124
79;0.009077;-0.016022;0.012633
80;0.006430;-0.016123;0.011031
81;0.007759;-0.014247;0.013617
82;0.006210;-0.015032;0.014362
83;0.004437;-0.012930;0.012713
84;0.005405;-0.013799;0.015427
85;0.005954;-0.011375;0.011218
86;0.007897;-0.010561;0.010346
87;0.005506;-0.010469;0.009301
88;0.004686;-0.010280;0.010463
89;0.005478;-0.012992;0.010657
90;0.004680;-0.012405;0.010496
91;0.006179;-0.012053;0.012673
92;0.001368;-0.011622;0.008897
93;0.003714;-0.010518;0.009724
94;0.003975;-0.007148;0.006088
95;0.005160;-0.009163;0.008634
96;0.005842;-0.009491;0.010745
97;0.005973;-0.009351;0.010994
98;0.005314;-0.011357;0.011021
99;0.005656;-0.009701;0.010817
100;-0.080367;0.005266;-0.265115
101;0.062304;-0.040819;0.409922
102;0.018507;-0.012838;0.127598
103;0.013178;-0.007160;0.018153
104;-0.025448;0.003285;-0.130120
105;0.001055;-0.002810;-0.045779
106;-0.017068;-0.002220;-0.074122
107;0.003215;0.000055;0.007810
108;0.034773;-0.012864;0.080284
109;0.004325;0.001753;0.040149
110;-0.037204;0.001561;-0.098903
111;0.013184;-0.015034;0.028386
112;-0.113931;0.003801;-0.138116
113;0.014138;-0.007047;0.031762
114;0.001138;-0.007266;0.004008
115;-0.203900;-0.029570;0.019077
116;0.081028;-0.008101;-0.083944
117;0.030379;-0.001338;0.042886
118;0.009551;-0.005813;0.006502
119;0.000624;-0.007285;-0.000058
120;-0.002997;-0.014555;0.020041
121;0.116370;0.020276;0.011674
122;0.003826;-0.008192;0.013970
123;0.008419;-0.007813;0.013416
124;0.001027;-0.010309;-0.001770
125;0.015293;-0.008245;0.057433
126;0.003252;-0.004734;0.020164
127;0.008772;-0.002863;0.004695
128;0.003749;-0.005899;0.003886
129;-0.006241;-0.009110;0.004271
130;-0.000686;-0.008811;0.004142
131;0.001875;-0.008511;0.007661
