index;x;y;z
0;0.018617;-0.074613;0.341340
1;-0.179288;-0.117485;-0.052161
2;0.002878;-0.272591;-0.259201
3;0.117011;-0.394565;-0.043157
4;0.035077;-0.055616;0.234562
5;-0.025794;0.034397;0.101988
6;0.071641;-0.016162;0.098688
7;-0.055359;-0.377459;-0.082000
8;-0.234971;-0.037669;-0.342589
9;0.120834;0.023302;-0.000403
10;-0.128157;-0.154498;-0.169683
11;-0.088593;0.084108;-0.177776
12;0.201087;0.091908;-0.376077
13;0.129130;0.186616;-0.097886
14;-0.014945;-0.042376;-0.134310
15;-0.049922;-0.061082;0.225121
16;0.059007;0.238530;0.410945
17;-0.088757;0.309850;-0.077453
18;-0.000072;0.209112;0.811883
19;0.448588;0.213936;0.530050
20;-0.089231;-0.118231;-0.226147
21;-0.029691;0.653097;-0.943499
22;-0.074694;0.190745;-0.249624
23;-3.129896;-1.160552;-1.778167
24;0.173038;-0.115872;0.881312
25;-0.029820;0.195756;-0.487571
26;-0.041545;-0.056963;0.077415
27;-0.061209;0.006043;-0.124704
28;-0.032189;0.002309;-0.006314
29;-0.011614;0.012886;-0.057726
30;-0.051016;0.014559;-0.047037
31;-0.028914;0.014232;0.093517
32;-0.023710;0.014823;-0.010499
33;-0.043190;0.008703;0.063071
34;-0.058657;-0.003595;-0.020756
35;-0.060940;-0.003488;-0.021776
36;-0.030003;0.021353;0.047515
37;-0.066208;-0.043930;-0.045769
38;-0.013187;0.013098;-0.052299
39;-0.037429;-0.016735;0.033906
40;-0.041476;-0.040273;-0.024617
41;-0.056953;-0.024837;0.016918
42;-0.086936;-0.043452;0.057011
43;-0.051334;-0.010390;-0.007381
44;-0.036459;-0.018190;0.049575
45;-0.036348;-0.016751;-0.026061
46;-0.055984;-0.018962;0.037741
47;-0.073081;0.001894;0.119082
48;-0.077077;-0.015274;0.063441
49;-0.048552;-0.005967;0.093034
50;-0.074507;-0.005738;-0.001261
51;-0.046630;0.014567;-0.005484
52;-0.079325;-0.033988;-0.030944
53;-0.103489;-0.004007;-0.035409
54;-0.069809;-0.000106;-0.023330
55;-0.078352;0.001263;0.020768
56;-0.110689;0.026820;-0.024783
57;-0.109958;0.074365;-0.047749
58;-0.128919;0.066983;-0.042100
59;-0.138715;0.075217;-0.031626
60;-0.121463;0.096439;-0.068590
61;-0.136536;0.089777;-0.042790
62;-0.125702;0.105995;-0.015988
63;-0.195881;0.073650;-0.061099
64;-0.182546;0.106431;0.012534
65;-0.153358;0.085245;0.018530
66;-0.148743;0.093446;-0.023934
67;-0.180636;0.083358;-0.082033
68;-0.210782;0.110085;-0.111091
69;-0.190956;0.095182;-0.036050
70;-0.205034;0.077839;-0.066898
71;-0.152370;0.123021;-0.012977
