index;x;y;z
96;-0.063491;0.036778;0.001835
97;-0.099996;0.013069;-0.039212
98;-0.054743;0.048671;0.003224
99;-0.091603;0.008871;-0.028803
100;-0.041904;0.033305;-0.008902
101;-0.080612;-0.009205;-0.047071
102;-0.048984;0.019890;-0.064238
103;-0.091208;-0.020497;-0.035465
104;-0.044810;-0.003769;-0.051843
105;-0.070233;-0.006719;-0.035762
106;-0.078325;-0.003402;-0.046718
107;-0.085503;-0.019334;-0.011075
108;-0.113002;-0.004342;-0.008500
109;-0.110830;0.003657;0.043678
110;-0.154121;0.013818;0.027664
111;-0.104759;0.017422;0.051900
112;-0.161625;0.035117;0.059512
113;-0.136010;-0.006783;0.041871
114;-0.196434;-0.015662;-0.037184
115;-0.115937;0.034947;0.060909
116;-0.222298;0.004250;-0.002857
117;-0.155432;-0.006290;-0.007507
118;-0.357951;0.042012;0.039220
119;-0.119925;-0.020198;0.006601
120;-0.331068;0.009629;-0.062901
121;-0.204191;-0.056951;-0.048286
122;-0.285534;-0.069871;-0.005873
123;-0.234522;-0.050958;0.022140
124;-0.051497;-0.031140;-0.048368
125;-0.093246;-0.005012;-0.077241
126;-0.077804;-0.041349;-0.041135
127;-0.083240;0.001126;0.008900
128;-0.074551;-0.027643;-0.003481
129;-0.114147;0.014120;0.018924
130;-0.071124;0.061942;0.067439
131;-0.032061;-0.006877;0.050826
132;-0.048950;0.052055;0.016339
133;-0.073108;0.004882;0.031723
134;-0.113976;-0.026108;-0.003543
135;-0.123969;0.029942;-0.015338
136;-0.077167;-0.020107;-0.010965
137;-0.141924;-0.001643;-0.011723
138;-0.105437;-0.017809;0.013737
139;-0.138624;0.007068;-0.006422
140;-0.111260;-0.006362;0.007791
141;-0.150195;0.014510;-0.004087
142;-0.137161;-0.012383;-0.015341
143;-0.185848;0.014780;0.005912
144;-0.134140;0.017122;0.046040
145;-0.153924;0.022867;-0.017969
146;-0.173724;0.005792;-0.024916
147;-0.176835;0.005499;-0.018541
148;-0.129841;0.000015;0.078413
149;-0.151023;0.071650;0.028987
150;-0.166792;-0.035339;-0.078934
151;-0.168803;0.045920;0.004547
152;-0.147556;-0.017383;-0.032707
153;-0.247282;-0.020561;-0.034829
154;-0.176525;0.005533;-0.012192
155;-0.215898;0.038655;-0.012544
156;-0.175406;0.028452;-0.002613
157;-0.178762;0.059026;0.039237
158;-0.165858;-0.016620;-0.058327
159;-0.208029;0.050347;-0.035331
160;-0.183238;-0.001038;-0.069333
161;-0.228576;0.057623;-0.116419
162;-0.131315;0.005037;-0.090191
163;-0.228914;0.015253;-0.095634
164;-0.129822;0.016100;-0.066542
165;-0.162251;0.063005;-0.023929
166;-0.113281;0.043665;-0.027490
167;-0.190807;0.027456;-0.111175
168;-0.126674;0.043885;-0.052261
169;-0.120396;0.093399;-0.046506
170;-0.114560;0.065833;-0.029500
171;-0.104355;0.078405;-0.077979
172;-0.103846;0.065679;-0.023364
173;-0.114566;0.114064;-0.021347
174;-0.089472;0.076959;0.004967
175;-0.114102;0.114001;-0.049109
176;-0.074608;0.106411;0.013686
177;-0.072511;0.132217;0.009037
178;-0.031203;0.106648;-0.010922
179;-0.074005;0.115477;-0.058059
180;-0.067159;0.086403;-0.084656
181;-0.085624;0.079426;-0.095994
182;-0.037064;0.075346;-0.004926
183;-0.091740;0.110963;-0.066084
184;-0.062725;0.065367;-0.128154
185;-0.078155;0.065131;-0.183043
186;-0.050441;0.049407;-0.080985
187;-0.079315;0.060282;-0.129180
188;-0.099486;0.058831;-0.039556
189;-0.090903;0.109751;-0.040559
190;-0.050696;0.099307;-0.019061
191;-0.063907;0.121535;0.055455
192;0.020914;0.117869;-0.001823
193;-0.126598;0.188499;0.047729
194;0.027637;0.074101;-0.104171
195;-0.059431;0.198610;0.017629
196;-0.105011;0.002991;-0.220231
197;-0.064941;0.100187;0.025705
198;-0.058268;-0.005985;-0.084992
199;-0.035642;0.188575;-0.241097
200;-0.063283;0.063547;-0.130348
201;0.009198;0.103364;0.002375
202;-0.009974;0.074606;0.011754
203;0.062708;0.098714;-0.016430
204;-0.027091;0.069814;0.008488
205;0.051872;0.094039;-0.050892
206;-0.012702;0.071500;-0.034834
207;0.012712;0.098812;-0.021243
208;-0.033717;0.076126;-0.044230
209;-0.025664;0.084720;-0.068007
210;-0.053628;0.065038;-0.044139
211;-0.007166;0.065603;-0.023259
212;-0.009713;0.032453;-0.044229
213;0.004263;0.062948;-0.081360
214;0.037492;0.051179;-0.053363
215;0.052150;0.025922;-0.111873
216;0.024058;0.027609;-0.088678
217;0.041737;0.038562;-0.091519
218;0.021003;0.029194;-0.050110
219;0.039277;0.036809;-0.053235
220;0.051590;0.055197;-0.049343
221;0.053620;0.062448;-0.059779
222;0.028576;0.063996;-0.048895
223;0.053516;0.066462;-0.043905
224;0.016712;0.072082;-0.046299
225;0.039974;0.092232;-0.016703
226;0.020481;0.084683;-0.022698
227;0.039061;0.074935;-0.050605
228;0.054905;0.092712;-0.058374
229;0.029506;0.084016;0.003570
230;0.054161;0.079747;-0.039433
231;0.029237;0.072658;-0.045355
232;0.027255;0.083381;-0.036525
233;-0.029763;0.065555;-0.070684
234;0.045564;0.071931;-0.121416
235;-0.009266;0.062253;-0.003322
236;0.011315;0.056528;-0.056886
237;-0.029293;0.073573;-0.068243
238;0.013177;0.084654;-0.020358
239;-0.003870;0.047753;-0.079229
240;0.006911;0.057476;-0.040950
241;-0.011251;0.057772;-0.063800
242;0.032936;0.069862;-0.033864
243;-0.005513;0.038824;-0.045984
244;-0.011942;0.044411;-0.085492
245;-0.019630;0.041441;-0.059614
246;-0.051206;0.055058;-0.082618
247;-0.025889;0.054967;-0.052361
248;-0.028621;0.041868;-0.074398
249;-0.027445;0.077491;-0.042277
250;-0.032061;0.051297;-0.017038
251;0.020180;0.082976;-0.062427
252;-0.012623;0.082947;-0.053302
253;-0.032096;0.075811;-0.027720
254;-0.004133;0.061757;-0.019196
255;-0.043710;0.083310;-0.022500
256;-0.025310;0.073708;-0.019171
257;-0.047538;0.095796;-0.023376
258;-0.027580;0.072538;-0.039765
259;-0.020862;0.089764;-0.028738
260;-0.050740;0.077290;-0.033495
261;-0.026134;0.071289;-0.031056
262;-0.090557;0.060092;-0.022882
263;-0.058475;0.078865;-0.042061
264;-0.055456;0.053638;-0.035170
265;-0.064266;0.045971;-0.105291
266;-0.081682;0.072317;-0.055703
267;-0.084275;0.039097;-0.064972
268;-0.099759;0.054946;-0.062176
269;-0.067459;0.051415;-0.028594
270;-0.074364;0.053426;-0.065875
271;-0.057698;0.072728;-0.032961
272;-0.036738;0.061165;-0.055475
273;-0.038165;0.080399;-0.027103
274;-0.074343;0.074813;-0.091116
275;-0.088044;0.064237;-0.046143
276;-0.069402;0.067680;-0.063513
277;-0.113425;0.083165;-0.034639
278;-0.081079;0.092989;-0.014129
279;-0.119523;0.063077;-0.014513
280;-0.035629;0.081403;-0.025574
281;-0.083410;0.089378;-0.000584
282;-0.104284;0.074897;-0.080789
283;-0.112717;0.063423;-0.098091
284;-0.130275;0.061586;-0.121051
285;-0.081352;0.034184;-0.077606
286;-0.098268;0.018402;-0.091937
287;-0.068583;0.042620;-0.077467
288;-0.082758;0.002814;-0.102241
289;-0.091584;0.055007;-0.065543
290;-0.067251;0.046078;-0.034424
291;-0.074895;0.035249;-0.041773
292;-0.114970;0.064310;-0.002924
293;-0.044899;0.093978;0.005495
294;-0.130922;0.071663;0.044690
295;-0.063087;0.055790;-0.037052
296;-0.081348;0.062922;0.032539
297;-0.138168;0.228956;0.167645
298;-0.133357;0.012923;-0.051912
299;-0.067515;0.096427;0.015047
300;-0.080244;0.108007;0.086068
301;0.004561;0.077776;-0.084463
302;-0.031749;0.085523;0.004381
303;0.004250;-0.003095;-0.064534
304;-0.104174;0.037621;-0.123605
305;-0.137690;0.015777;-0.098648
306;-0.037758;0.032784;0.036138
307;0.010685;0.047266;-0.064208
308;0.006169;0.027530;-0.054848
309;-0.029050;0.028991;-0.023294
310;0.025043;0.020508;-0.058816
311;-0.028329;0.020423;-0.013864
312;-0.106729;0.052326;-0.078803
313;-0.092578;0.018412;-0.088556
314;-0.059031;0.025092;-0.002659
315;-0.053424;0.038393;-0.025899
316;-0.029228;0.017655;-0.032558
317;-0.074434;0.041642;-0.047917
318;-0.068706;0.027167;-0.030585
319;-0.050578;0.052995;-0.039668
320;-0.057090;0.047775;-0.033595
321;-0.012911;0.045644;-0.016344
322;-0.056640;0.052629;-0.002387
323;-0.060991;0.051392;0.009729
324;-0.032027;0.066657;0.021939
325;-0.058544;0.052855;-0.012929
326;-0.035058;0.077123;0.010692
327;-0.012039;0.127199;0.105054
328;-0.041270;0.122674;0.063704
329;-0.056044;0.115336;-0.061411
330;-0.034766;0.104690;-0.066673
331;-0.061934;0.078993;-0.122391
332;-0.008875;0.060806;-0.126492
333;-0.030069;0.037159;-0.181408
334;0.002756;0.093033;-0.114341
335;-0.003366;0.079082;-0.140247
336;0.010352;0.096267;-0.183030
337;-0.003454;0.069226;-0.173946
338;-0.024940;0.075544;-0.170571
339;0.029154;0.084445;-0.142011
340;0.031087;0.084882;-0.096358
341;0.020512;0.132258;-0.083845
342;0.006111;0.129883;-0.062502
343;0.030044;0.141183;-0.051059
344;-0.018708;0.134954;-0.025950
345;0.013815;0.136255;-0.041278
346;-0.000346;0.150982;-0.018268
347;-0.060076;0.127277;-0.024205
348;0.002472;0.134488;-0.008861
349;0.040140;0.133039;0.006908
350;-0.020955;0.121683;-0.005901
351;-0.028884;0.125662;0.005107
352;-0.000169;0.122956;-0.048941
353;-0.030838;0.119838;0.004653
354;-0.012268;0.090034;-0.064153
355;-0.038154;0.113283;-0.010256
356;-0.026864;0.063175;-0.124438
357;-0.042373;0.060531;-0.074481
358;-0.067868;0.022059;-0.108746
359;-0.059510;0.035048;-0.103343
360;-0.021509;0.050705;-0.053398
361;-0.028316;0.081308;-0.016788
362;-0.067699;0.014710;-0.088437
363;-0.028134;0.024873;-0.102760
364;-0.054386;0.002031;-0.129792
365;-0.090597;0.021996;-0.097036
366;-0.043581;0.005241;-0.060552
367;-0.032756;0.026206;-0.027564
368;-0.066238;0.038268;-0.020306
369;-0.068787;0.067944;-0.016673
370;0.009010;0.095291;0.087068
371;-0.103977;0.063649;-0.014006
372;-0.043572;0.078885;-0.006112
373;-0.074828;0.074593;-0.003542
374;-0.116280;0.050785;-0.003793
375;-0.073948;0.069338;0.029406
376;-0.132339;0.108040;-0.121025
377;-0.024387;0.017963;-0.034235
378;-0.107254;0.103320;0.119330
379;-0.093392;0.022297;-0.016713
380;-0.053319;0.125857;0.032093
381;-0.082550;0.056172;0.125398
382;-0.042461;0.068699;0.065566
383;-0.033079;0.008573;0.072444
384;-0.070758;0.035555;0.026199
385;-0.085009;0.040627;-0.003738
386;-0.026600;0.017342;0.022553
387;-0.110876;-0.001241;-0.063857
388;-0.062448;0.015949;-0.043244
389;-0.076868;-0.008248;-0.041103
390;-0.113051;-0.001970;-0.088651
391;-0.093841;-0.027795;-0.017859
392;-0.041822;-0.010487;-0.021454
393;-0.068319;-0.012496;-0.048313
394;-0.108828;0.017174;-0.019167
395;-0.099948;-0.008899;-0.024198
396;-0.130949;0.023475;-0.017025
397;-0.127497;0.016905;-0.000963
398;-0.153204;0.017227;0.007412
399;-0.137012;0.007630;0.007026
400;-0.122292;0.005166;-0.020123
401;-0.143541;0.017386;-0.005337
402;-0.131052;0.022932;-0.027499
403;-0.128343;0.023643;0.004304
404;-0.165942;0.000961;-0.018446
405;-0.153708;0.007993;0.013969
406;-0.160567;0.010219;-0.005797
407;-0.147500;-0.008780;-0.012998
408;-0.167286;0.002522;0.015941
409;-0.155595;0.000983;-0.039535
410;-0.180213;-0.004617;0.007755
411;-0.162159;0.035010;-0.025091
412;-0.163320;0.034710;-0.001469
413;-0.179954;0.034103;-0.027011
414;-0.166933;0.025256;0.003615
415;-0.196383;0.035135;-0.010005
416;-0.175059;0.028392;0.012800
417;-0.171603;0.050590;0.014854
418;-0.172374;0.016755;-0.003253
419;-0.185452;0.062698;-0.022054
420;-0.130770;0.080977;0.039970
421;-0.184182;0.068490;-0.018400
422;-0.201874;0.029491;0.000988
423;-0.177820;0.073352;-0.010947
424;-0.220492;0.035897;-0.057689
425;-0.216136;0.039602;-0.026151
426;-0.225576;0.009732;-0.050088
427;-0.224479;0.019182;-0.042513
428;-0.242282;0.030041;-0.024531
429;-0.244785;0.044732;-0.037499
430;-0.258897;0.064838;-0.035520
431;-0.232039;0.033158;-0.033887
432;-0.290753;0.064048;-0.017708
433;-0.285199;0.019840;-0.003430
434;-0.257895;0.061970;0.018942
435;-0.280172;0.072253;0.009990
