index;x;y;z
0;0.000639;0.002394;0.006968
1;0.001070;0.001297;0.006090
2;0.000864;0.000390;0.003528
3;0.000942;0.001610;0.003483
4;0.000766;0.002055;0.004109
5;0.001682;-0.000404;0.002831
6;0.001431;0.002107;0.004321
7;0.000545;0.002430;0.004250
8;0.000792;0.001151;0.003488
9;0.000823;-0.000206;0.004965
10;-0.000562;-0.000092;0.003329
11;-0.000652;0.000143;0.003708
12;-0.000293;0.000422;0.004266
13;0.001146;0.000520;0.003096
14;0.002222;0.001112;0.004570
15;0.000271;0.000946;0.003651
16;0.001141;0.001056;0.004104
17;0.000014;0.002564;0.003141
18;-0.000492;0.001061;0.004579
19;0.000166;0.000569;0.003328
20;0.000033;0.000272;0.003651
21;0.000554;0.000735;0.003791
22;0.001370;0.001271;0.004021
23;0.001532;0.001427;0.003593
24;-0.000219;0.000271;0.003750
25;-0.000261;0.001112;0.005006
26;0.002003;0.001451;0.003737
27;-0.000322;0.000105;0.004695
28;-0.000395;0.000872;0.004717
29;0.000345;0.001244;0.003153
30;0.001149;0.001878;0.002751
31;-0.000303;-0.000675;0.003773
32;0.000642;0.001659;0.002416
33;0.000750;0.000863;0.003240
34;-0.000372;0.000525;0.004165
35;-0.000167;0.001462;0.004466
36;-0.000277;0.001094;0.003408
37;0.000454;-0.000798;0.002689
38;0.000023;0.001301;0.003742
39;-0.000257;0.001097;0.005632
40;-0.000210;0.001305;0.004626
41;0.000099;0.000357;0.002628
42;0.001721;0.002503;0.003605
43;0.001588;0.000429;0.003677
44;0.001615;-0.000166;0.003507
45;0.000097;0.001424;0.005018
46;0.000560;-0.000478;0.003712
47;0.000524;0.000875;0.003534
48;0.000608;0.000641;0.004969
49;0.000908;0.001606;0.003608
50;0.000236;0.001442;0.003317
51;0.001413;0.000219;0.003927
52;0.001302;0.000697;0.004537
53;0.000533;-0.000197;0.004416
54;0.002157;0.000975;0.002588
55;0.001157;0.001493;0.003502
56;0.000334;0.001537;0.003320
57;0.000004;-0.000080;0.003367
58;0.000531;0.000666;0.004056
59;0.001026;0.001712;0.003828
60;0.000602;-0.000040;0.003732
61;0.000303;0.001077;0.003247
62;0.001017;0.000138;0.003828
63;0.000258;0.000161;0.003916
64;-0.000876;0.001242;0.004408
65;0.000668;0.000644;0.003704
66;0.000766;0.000404;0.003558
67;0.001125;-0.000013;0.004194
68;0.000080;0.000483;0.004052
69;0.000237;-0.000258;0.003429
70;0.001808;0.000521;0.004264
71;0.000205;0.000804;0.004423
72;0.001877;0.002052;0.005060
73;0.000370;0.002333;0.003894
74;0.000610;0.001068;0.003095
75;0.001145;0.000474;0.004941
76;0.001261;0.000969;0.005175
77;0.000689;0.002289;0.005436
78;-0.001175;0.001027;0.004429
79;-0.000573;0.001363;0.004000
80;0.000856;0.002676;0.006233
81;0.002033;0.002258;0.006156
82;0.003980;0.003315;0.008073
83;0.004325;0.004831;0.010475
84;0.005290;0.006791;0.014315
85;0.007376;0.009621;0.016535
86;0.015449;0.016032;0.029780
87;0.018271;0.023128;0.042296
88;0.013543;0.017280;0.031766
89;0.002696;0.002499;0.014764
90;-0.018371;-0.029078;-0.026846
91;-0.033088;-0.046535;-0.055807
92;-0.044351;-0.050119;-0.070491
93;-0.039875;-0.039171;-0.070927
94;-0.027400;-0.019032;-0.056443
95;-0.011405;0.003554;-0.035665
96;0.024462;0.027912;0.003061
97;0.040933;0.037432;0.027707
98;0.040630;0.038074;0.045199
99;0.028228;0.026308;0.048269
100;0.008828;0.004231;0.047771
101;0.000504;-0.008174;0.045856
102;-0.011706;-0.013191;0.038637
103;-0.013540;-0.011638;0.025673
104;-0.004569;0.007696;0.027295
105;0.010096;0.029949;0.040443
106;0.028861;0.050428;0.053824
107;0.026320;0.039757;0.039738
108;0.009259;0.002440;0.001866
109;-0.008215;-0.027278;-0.031857
110;-0.034459;-0.060524;-0.072201
111;-0.047398;-0.073737;-0.090855
112;-0.042018;-0.057234;-0.090606
113;-0.027751;-0.030774;-0.070043
114;-0.011192;0.011212;-0.035781
115;0.015485;0.034417;-0.000873
116;0.033186;0.056566;0.039373
117;0.035613;0.052013;0.053343
118;0.024844;0.028735;0.056431
119;0.014371;0.001129;0.052223
120;0.000279;-0.018283;0.047716
121;-0.008317;-0.026902;0.040613
122;-0.007580;-0.017921;0.029098
123;-0.000273;0.005810;0.032065
124;0.016288;0.043938;0.051399
125;0.024493;0.061147;0.057541
126;0.018371;0.043693;0.032032
127;0.004663;0.009450;-0.001270
128;-0.023669;-0.044280;-0.060303
129;-0.040449;-0.075450;-0.091785
130;-0.044042;-0.082379;-0.105169
131;-0.033158;-0.058877;-0.088290
132;-0.024084;-0.023684;-0.064903
133;-0.000601;0.009872;-0.034604
134;0.024037;0.051186;0.018306
135;0.034074;0.064960;0.047840
136;0.029160;0.055417;0.062856
137;0.015714;0.032478;0.061267
138;0.006177;-0.004141;0.055190
139;0.005821;-0.022353;0.053035
140;-0.000092;-0.024884;0.040291
141;0.007257;-0.015424;0.041015
142;0.015819;0.021556;0.054491
143;0.017361;0.039703;0.049584
144;0.009441;0.040757;0.030412
145;-0.003855;0.022124;-0.001392
146;-0.028187;-0.022144;-0.053604
147;-0.037596;-0.052388;-0.086329
148;-0.043050;-0.075874;-0.114341
149;-0.029615;-0.068526;-0.107405
150;-0.016962;-0.033951;-0.071326
151;0.005820;-0.001368;-0.032924
152;0.021883;0.043672;0.020221
153;0.029668;0.061669;0.047200
154;0.031414;0.058421;0.068211
155;0.019758;0.038987;0.069478
156;0.004846;0.006237;0.061787
157;-0.001584;-0.011640;0.054720
158;-0.003143;-0.027964;0.036405
159;0.010285;-0.013806;0.043526
160;0.027051;0.024755;0.066674
161;0.023300;0.036115;0.052538
162;0.008310;0.031218;0.021928
163;-0.005978;0.013207;-0.008535
164;-0.032496;-0.028308;-0.063450
