index;x;y;z
0;-0.002000;0.001184;0.004625
1;-0.002196;0.000508;0.003879
2;-0.001073;0.001908;0.004055
3;-0.001996;0.001846;0.003691
4;-0.001747;0.002110;0.005429
5;-0.000823;0.002428;0.005305
6;-0.002676;0.002781;0.003215
7;-0.001236;0.001364;0.003477
8;-0.001322;0.001975;0.004441
9;-0.002236;0.001280;0.004645
10;-0.001549;0.003308;0.002713
11;-0.001691;0.003027;0.003035
12;0.000027;0.002350;0.003160
13;-0.001359;0.001873;0.003790
14;-0.001516;0.001374;0.003788
15;0.000039;0.002782;0.005839
16;-0.001023;0.000611;0.004508
17;-0.000971;0.001938;0.003042
18;-0.001603;0.001024;0.004137
19;-0.000677;0.001396;0.003521
20;-0.001889;0.001728;0.003264
21;-0.001347;0.001588;0.004317
22;-0.000865;0.001224;0.005688
23;-0.000653;0.000992;0.002713
24;-0.000761;0.001116;0.004055
25;-0.001509;0.002262;0.002986
26;-0.001457;0.001194;0.004274
27;-0.001145;0.002472;0.004760
28;-0.002247;0.001601;0.003877
29;-0.002475;0.001054;0.003880
30;-0.001456;0.002027;0.004434
31;-0.000131;0.001813;0.003712
32;-0.002389;0.001289;0.004413
33;-0.002017;0.000079;0.003709
34;-0.000910;0.003167;0.003296
35;-0.001101;0.001562;0.005857
36;-0.001870;0.003212;0.003572
37;-0.000695;0.000680;0.004625
38;-0.001225;0.003166;0.004120
39;-0.001840;0.000422;0.005212
40;-0.002282;0.000065;0.003393
41;-0.001772;0.002227;0.003015
42;-0.000491;0.001684;0.003241
43;-0.001386;0.001994;0.004894
44;-0.000265;0.001933;0.002931
45;-0.002084;0.002540;0.005300
46;-0.001526;0.000814;0.004402
47;-0.000752;0.000802;0.004268
48;0.000650;0.001432;0.004436
49;-0.002075;0.001633;0.003915
50;-0.001737;0.003152;0.003475
51;-0.001529;0.002071;0.004071
52;-0.000263;0.002197;0.003859
53;-0.000901;0.000596;0.004401
54;-0.001077;0.001800;0.003988
55;-0.001614;0.002128;0.005213
56;-0.001035;0.000015;0.004552
57;-0.000372;0.000827;0.002966
58;-0.000940;0.002173;0.004142
59;-0.002357;0.003460;0.005152
60;-0.002269;0.001069;0.005788
61;-0.002312;0.001117;0.004552
62;-0.001043;0.001706;0.005045
63;-0.000943;0.003272;0.006770
64;-0.000662;0.001650;0.005003
65;-0.000478;0.000883;0.004142
66;-0.002146;0.000129;0.002839
67;-0.002354;0.001792;0.005106
68;-0.001879;0.003155;0.005580
69;-0.002340;0.002945;0.006316
70;-0.003052;0.003532;0.007342
71;-0.005070;0.006927;0.014010
72;-0.009737;0.013834;0.025581
73;-0.016247;0.020740;0.042076
74;-0.023207;0.023748;0.053329
75;-0.022625;0.014969;0.041947
76;-0.001578;-0.011777;0.002829
77;0.038479;-0.049298;-0.063311
78;0.057005;-0.059660;-0.091081
